text,label,sentiment
quarter final england brazil squared shizuoka ronaldinho scored free kick goal england david seaman early second half brazil united state lost germany ulsan michael ballack goal 39th minute controversy surrounded game united state demanded referee give penalty goal line handball torsten frings 49th minute referee award penalty south korea got another success gwangju controversial manner overcoming spain penalty draw spaniard twice thought scored onside however effort disallowed referee controversial decision host became first team asian football confederation reach semi final world cup eclipsing record north korean counterpart reached quarter final 1966 also became first world cup semi final team uefa conmebol since united state first world cup 1930,FIFA Qatar,0.6808
final match held yokohama japan two goal ronaldo secured world cup brazil claimed victory germany ronaldo scored twice second half game golden shoe award tournament leading scorer eight goal fifth time brazil world cup cementing status successful national team history competition brazil became team since argentina 1986 win trophy without needing win penalty shoot stage knockout phase total number penalty shoot out lowest since four round knockout format introduced 1986 brazil also became first team win every match world cup since 1970 set new record highest aggregate goal difference 14 world cup winner,FIFA Qatar,0.9752
working qatar bid extreme temperature desert country world cup always take place european season june july period average daytime high qatar exceeds 40 104 average daily low temperature dropping 30 86 response issue sheikh mohammed bin hamad bin khalifa al thani 2022 qatar bid chairman stated event organized june july take help technology counter harsh weather,FIFA Qatar,-0.5994
first five proposed stadium world cup unveiled beginning march 2010 stadium employ cooling technology capable reducing temperature within stadium 20 36 upper tier stadium disassembled world cup donated country le developed sport infrastructure five stadium project launched designed german architect albert speer partner air conditioning stadium player spectator solar powered carbon neutral provided arup england al khor stadium planned al khor city located 50 kilometre north doha stadium total capacity 45 330 19 830 seat forming part temporary modular upper tier al wakrah stadium located al wakrah city southern qatar total capacity 45 120 seat,FIFA Qatar,0.4767
may 2011 bribery part two member fifa executive committee tabled lord triesman english fa allegation based information whistleblower involved qatari bid fifa since opened internal inquiry matter revote 2022 world cup remains possibility allegation proven former fifa president sepp blatter conceded 2011 widespread support hold 2022 vote qatar testimony uk parliamentary inquiry board may 2011 lord triesman alleged trinidad tobago jack warner demanded million education center country paraguay nicol oz asked honorary knighthood exchange vote also two sunday time reporter testified told jacques anouma ivory coast issa hayatou cameroon paid million support qatar bid tournament,FIFA Qatar,0.7184
four denied allegation mohammed bin hammam played key role securing game qatar withdrew candidate president fifa may 2011 accused bribing 25 fifa official vote candidacy bin hammam warner suspended fifa wake allegation warner reacting suspension questioning blatter conduct adding fifa secretary general jerome valcke also told qatar bought 2022 world cup valcke subsequently issued statement denying suggested bribery saying instead country used financial muscle lobby support qatar official denied impropriety insist corruption allegation driven envy mistrust want world cup staged qatar,FIFA Qatar,-0.802
qatar airway ceo akbar al baker gave interview german medium june 2014 stating country getting respect deserves effort hold world cup qatari emir strictly punishes forbids instance corruption bribery zero tolerance policy according leaked document seen sunday time qatari state run television channel al jazeera bein sport secretly offered 400 million fifa broadcasting right 21 day fifa announced qatar hold 2022 world cup contract also documented secret tv deal fifa qatar state run medium broadcast al jazeera 100 million also paid designated fifa account qatar win world cup ballot 2010 additional 480 million also offered state qatar government three year initial offer brings amount 880 million offered qatar host 2022 world cup document part bribery inquiry swiss police fifa refused comment inquiry responded sunday time email wrote allegation linked fifa world cup 2022 bid already extensively commented fifa june 2017 published garcia report full fifa com,FIFA Qatar,0.0516
world cup usually held northern hemisphere summer season qatar temperature get 50 122 qatar say problem hosting world cup section qatar 2022 bid official site explains five stadium harness power sun ray provide cool environment player fan converting solar energy electricity used cool fan player stadium game taking place solar installation stadium export energy onto power grid,FIFA Qatar,0.8271
match stadium draw energy grid basis stadium carbon neutrality along stadium plan make cooling technology developed available country hot climate host major sporting event example occurred 2018 world cup qualifier china air conditioning happened october 2015 cooling technique able reduce temperature 45 25 degree celsius 113 77 would comfortable player spectator match bid also proposes cooling technology used fan zone training pitch walkway metro station stadium anyone enters area without technology may still exposed extreme level heat,FIFA Qatar,0.7506
one touched issue qatar world cup treatment worker hired build infrastructure human right watch international trade union confederation ituc allege kafala system leaf migrant worker vulnerable systematic abuse worker could change job even leave country without sponsor permission november 2013 amnesty international reported serious exploitation including worker sign false statement received wage order regain passport visiting labour camp sharan burrow ituc stated two year since award 2022 world cup qatari government done fundamental commitment human right,FIFA Qatar,-0.128
qatar 2022 committee said commitment change working condition order ensure lasting legacy improved worker welfare aware done overnight 2022 fifa world cup acting catalyst improvement regard september 2013 guardian reported worker faced poor condition company handling construction 2022 world cup infrastructure forced worker stay denying promised salary withholding necessary worker id permit rendering illegal alien report stated evidence suggest worker face exploitation abuse defined international labour organization ilo building binge paving way 2022,FIFA Qatar,-0.5423
video shown labour right group showed men living labour camp unsanitary dilapidated condition may 2014 qatar announced plan abolish kafala system implementation delayed 2016 even promised reform implemented employer would still considerable power worker example proposed requirement wage must paid designated bank account would cover labourer paid cash 2015 crew four journalist bbc arrested held two day attempted report condition worker country reporter invited visit country guest government qatar march 2016 amnesty international accused qatar using forced labour forcing employee live poor condition withholding wage passport also accused fifa failing stop stadium built human right abuse migrant worker told amnesty verbal abuse threat received complaining paid several month nepali worker even denied leave visit family 2015 nepal earthquake october 2017 ituc said qatar signed agreement improve situation two million migrant worker country,FIFA Qatar,-0.9801
according ituc agreement provided establishing substantial reform labour system including ending kafala system would positively affect general situation worker especially working 2022 fifa world cup infrastructure project worker longer need employer permission leave country change job november 2017 ilo started three year technical cooperation programme qatar improve working condition labour right qatar introduced new labour law protect migrant worker right law 15 2017 introduced clause maximum working hour constitutional right annual leave law,FIFA Qatar,0.91
13 2018 abolished exit visa 95 per cent migrant worker 30 april 2018 ilo opened first project office qatar monitor support implementation new labour law february 2019 amnesty international said qatar falling short promised labour reform start world cup sentiment fifa backed amnesty also found abuse still occurring may 2019 investigation uk daily mirror newspaper discovered 28 000 worker stadium paid 750 qatari riyal per month equivalent 190 per month 99 penny hour typical 48 hour week october 2019 ilo said qatar taken step forward upholding right migrant worker april 2020 government qatar provided 824 million pay wage migrant worker quarantine undergoing treatment covid 19 august 2020 qatari government announced monthly minimum wage worker 000 riyal 275 increase previous temporary minimum wage 750 riyal month,FIFA Qatar,0.1027
new law went effect march 2021 ilo said qatar first country region introduce non discriminatory minimum wage part series historical reform country labour law campaign group migrant right said new minimum wage low meet migrant worker need qatar high cost living addition employer obligated pay 300 riyal food 500 riyal accommodation provide employee directly objection certificate removed employee change job without consent current employer minimum wage committee also formed check implementation february 2021 another investigative report published guardian used data embassy national foreign employment office estimate migrant worker death toll since world cup awarded qatar,FIFA Qatar,-0.656
figure used guardian include occupation place work death could definitively associated world cup construction programme significant proportion migrant worker died since 2011 country qatar right host world cup march 2021 hendriks graszoden turf supplier 2006 world cup european championship 2008 2016 refused supply qatar world cup turf according company spokesperson gerdien vloet one reason decision accusation human right abuse september 2021 report amnesty criticised qatar failing investigate migrant worker death december 2021 interview al jazeera fifa secretary general fatma samoura said fifa developed general framework structure guide implementation human right responsibility commitment published 2017 qatar implemented recommendation february 2022 mexican economist working world cup organizing committee said flee qatar avoid possible jail sentence extramarital sex reporting assaulted qatari authority april 2022 qatar dropped criminal proceeding mexican stadium worker human right watch welcomed decision end proceeding,FIFA Qatar,-0.9766
case closed march 2022 fifa congress doha lise klaveness head norwegian football federation criticised organisation awarded world cup qatar citing various controversy surrounding tournament argued 2010 world cup awarded fifa unacceptable way unacceptable consequence human right equality democracy core interest football starting xi many year later basic right pressured onto field substitute outside voice fifa addressed issue still long way go,FIFA Qatar,-0.5859
hassan al thawadi secretary general qatar 2022 criticised remark ignoring country recent labour reform may 2022 amnesty accused fifa looking way thousand migrant worked condition amounting forced labor arguing fifa required labor protection condition hosting august 2022 qatari authority arrested deported 60 migrant worker protested non payment wage employer al bandary international group major construction hospitality firm demonstrator nepal bangladesh india egypt philippine paid seven month london based labour right body equidem said sent home qatar labour ministry said paying al bandary worker taking action company already investigation failing pay wage september 2022 amnesty published result poll 17 000 football fan 15 country showed 73 supported fifa compensating migrant worker qatar human right violation,FIFA Qatar,-0.9601
fifa responded statement noting progress qatar migrant worker policy adding fifa continue effort enable remediation worker may adversely impacted relation fifa world cup related work accordance human right policy responsibility relevant international standard september 28 2022 danish sportswear company hummel unveiled denmark toned kit tournament protest qatar human right record one kit includes black alternate kit represents color mourning reference dispute hummel world cup organizer qatar hummel claimed thousand migrant worker died construction venue hummel said statement official instagram danish national team new jersey wanted send dual message inspired euro 92 paying tribute denmark greatest football success also protest qatar human right record toned detail denmark new world cup jersey including logo iconic chevron,FIFA Qatar,0.2263
legal status homosexuality qatar attracted attention medium homosexuality illegal qatar offender facing fine seven year imprisonment gay time reported known case death penalty enforced homosexuality qatar fifa president sepp blatter initially said would say refrain sexual activity later added fifa want discrimination want open game everybody open culture 2022 rumor allegation qatar would introduce medical screening test detect ban homosexual entering country lgbt activist peter tatchell said fifa option cancel world cup qatar,FIFA Qatar,-0.9169
qatar bid chief executive hassan al thawadi said heat issue journalist john smallwood daily news said qatar 2022 bid official site explains five stadium harness power sun ray provide cool environment player fan converting solar energy electricity used cool fan player stadium game taking place solar installation stadium export energy onto power grid match stadium draw energy grid basis stadium carbon neutrality,FIFA Qatar,0.91
notion staging tournament winter proved controversial blatter said tournament take place january february may clash 2022 winter olympics others expressed concern november december event might clash christmas season even though qatar predominantly muslim premier league voiced concern moving tournament northern hemisphere winter could interfere local league fa chairman greg dyke said shortly took job 2013 open either winter tournament moving tournament another country fifa executive committee member theo zwanziger said awarding 2022 world cup qatar desert state blatant mistake potential shift winter event would unmanageable due effect major european domestic league october 2013 taskforce commissioned consider alternative date report 2014 world cup brazil early 2014 fifa secretary general jerome valcke appeared preempt saying frankly think happen november 15 end december weather favourable,FIFA Qatar,-0.0772
like springtime europe controversial within fifa due possible conflict christmas season vice president jim boyce responded saying absolutely decided far executive committee concerned agreed stakeholder meet stakeholder input decision would made decision far understand taken end 2014 march executive meeting 2015 stand remains summer decision expected end 2014 march 2015 another option combat heat problem changing date world cup northern hemisphere winter climate qatar would cooler,FIFA Qatar,-0.5574
however proved problematic would disrupt calendar number domestic league particularly europe franz beckenbauer member fifa executive committee said qatar could allowed host 2022 world cup winter justified proposal ground qatar would saving money otherwise would spent cooling stadium beckenbauer said one think another solution january february comfortable 25 77 qatar vote deserves fair chance first host middle east,FIFA Qatar,0.8402
ceremony qatar marking occasion awarded world cup fifa president sepp blatter later agreed suggestion plausible fifa later clarified change bid position june july game would host association propose beckenbauer would later receive 90 day ban football related activity fifa refusing cooperate investigation bribery notion holding cup europe winter boosted uefa president michel platini indicating ready rearrange european club competition accordingly platini vote summer 2022 world cup went qatar fifa president sepp blatter also said despite air conditioned stadium event game involved cultural event regard questioned fan player could take part summer temperature addition objection european league frank lowy chairman football federation australia said change 2022 world cup date summer winter would upset schedule league said would seek compensation fifa decision go ahead,FIFA Qatar,0.2023
richard scudamore chief executive premier league stated would consider legal action fifa move would interfere premier league popular christmas new year fixture programme september 2013 alleged fifa held talk broadcaster decision change date world cup could cause potential clash scheduled television programming fox broadcasting company paid 425 million right broadcast 2018 2022 world cup later voiced anger possible season switch would clash year nfl season take place winter network said bought right understanding tournament would take place summer change go ahead would seek compensation 12 february 2015 fifa awarded fox right 2026 world cup without opening bidding espn nbc interested american broadcaster richard sandomir new york time reported fifa avoid fox suing court american legal system could force fifa open book expose possible corruption,FIFA Qatar,0.1531
estimate world cup going cost qatar approximately 138 billion 220 billion 60 time billion south africa spent 2010 fifa world cup nicola ritter german legal financial analyst told investor summit held munich 107 billion would spent stadium facility plus 31 billion transport infrastructure ritter said 30 billion would spent building air conditioned stadium 48 billion training facility accommodation player fan 28 billion spent creating new city called lusail surround stadium host opening final match tournament according report released april 2013 merrill lynch investment banking division bank america organiser qatar requested fifa approve smaller number stadium due growing cost,FIFA Qatar,0.7184
time awarded tournament 2010 qatar ranked 113 world never qualified world cup furthest team ever progressed afc asian cup first knockout round quarter final 2000 prestigious accolade team arabian gulf cup twice time hosting since awarded tournament also arabian gulf cup third time 2014 afc asian cup 2019 qatar smallest country host world cup smaller 1954 host switzerland 2010 permanent population le one million people le million population uruguay 1930 hosted tournament,FIFA Qatar,0.6597
fact led question strength football culture qatar made unsuitable world cup host qatar football association also known naturalise player foreign nation team example include sebasti soria luiz nior emerson sheik qatar fa previously attempted offer incentive uncapped player nation switch allegiance gulf state included german based brazilian trio lton ded leandro 2004 none ever played connection qatar help team qualify 2006 fifa world cup,FIFA Qatar,0.7479
may 2011 allegation corruption within fifa senior official raised question legitimacy world cup held qatar according vice president jack warner email publicised possibility qatar bought 2022 world cup bribery via mohammed bin hammam president asian football confederation time qatar official bid team 2022 denied wrongdoing whistleblower revealed phaedra almajid alleged several african official paid 5m qatar later retracted claim bribery stating fabricated order exact revenge qatari bid team relieving job,FIFA Qatar,-0.5859
january bonita mersiades whistle blower inside australia 2022 world cup bid published book alleges month vote december 2010 fifa executive privately worried qatar win would leave financial shortfall governing body 2022 al jazeera bein sport agreed secret deal pay 100 million qatar vote according book deal took place involvement knowledge valcke secretary general fifa time later banned nine year football corruption mail sunday asked bein sport allegation spokesman characterised bonus production contribution standard market practice often imposed upon broadcaster sport federation sport right holder according leaked document obtained sunday time qatari state run television channel al jazeera secretly offered 400 million fifa broadcasting right 21 day fifa announced qatar hold 2022 world cup contract also documented secret tv deal fifa qatar state run medium broadcast al jazeera 100 million also paid designated fifa account qatar win world cup ballot 2010 additional 480 million also offered state qatar government three year initial offer brings amount 880 million offered qatar host 2022 world cup,FIFA Qatar,0.7003
document part bribery inquiry swiss police fifa refused comment inquiry responded sunday time email wrote allegation linked fifa world cup 2022 bid already extensively commented fifa june 2017 published garcia report full fifa com furthermore please note fifa lodged criminal complaint office attorney general switzerland still pending fifa continue cooperate authority bein spokesman said statement company would respond unsubstantiated wildly speculative allegation,FIFA Qatar,-0.5859
troms il norway released statement calling boycott 2022 world cup relation report modern day slavery alarming number death among additional concern statement club urged norwegian football federation support boycott reaction 2017 qatar diplomatic crisis reinhard grindel president german football association stated june 2017 football association world conclude major tournament held country human right abuse german football association would talk uefa cabinet germany order evaluate whether boycott tournament qatar 2022 26 march 2021 german football association stated opposed boycotting tournament player campaign improvement human right day belgium manager roberto martinez told cnn would big mistake boycott event 20 june 2021 extraordinary congress norwegian football federation decided boycott 2022 world cup qatar 20 october 2021 according deutsche welle dw german football association dfb published interview website germany boycott 2022 world cup qatar according vice president peter peter qatar seen many positive development past year football role support development,FIFA Qatar,-0.9723
qatar national team played first official match 27 march 1970 host bahrain losing mubarak faraj scored sole goal qatar newly formed qatar national team posted underwhelming result first gulf cup tournament coming last place single point highlight tournament draw saudi final match next edition gulf cup 1972 qatar relegated last place suffering straight defeat next tournament 1974 proved somewhat break qatari achieved first triumph international football victory oman qatari lost saudi arabia semi final achieved 3rd place standing emerging victor penalty shoot united arab emirate first time entered qualifying stage afc asian cup 1975 successful qualifying 1976 asian cup iraq saudi arabia booking group two qualifying berth,FIFA Qatar,0.0
asian cup debut came 1980 head coach evaristo de macedo qualified tournament topping relatively easy group composing bangladesh afghanistan showing main tournament unimpressive making early exit group stage two defeat one draw one win qatar narrowly lost iraq final 1984 gulf cup nonetheless named runner impressive accolade 1992 failed make preliminary stage 1982 1986 world cup qualifying round however team qualified 1984 1988 edition asian cup fell short qualifying semi final 1984 tournament saudi arabia mohaisen al jam 88th minute goal kuwait ensuring semi final position team,FIFA Qatar,0.2732
qatar arguably reached peak 1990s attaining highest ever fifa rating 53 august 1993 qatar started emphatic qualifying campaign 1990 world cup finishing top group denied spot world cup finishing united arab emirate south korea final round qualifier 1990 national team finished runner gulf cup kuwait final two match tournament two year later competition home soil first time leadership sebasti lapola despite loss saudi arabia final game,FIFA Qatar,0.2644
made quarter final 2000 asian cup despite finishing 3rd group lost china quarter final confrontation reached final qualifying round 2001 defeated bora milutinovic china team topped section progress first fifa world cup frenchman philippe troussier took manager job 2002 world cup korea japan unsuccessful 2004 asian cup qualifying campaign 2006 world cup germany troussier sacked world cup qualifying campaign bosnian emaludin mu ovi team gulf cup 2004 asian game gold 2006 mu ovi stepped qatar earned two point three match 2007 asian cup job coaching team qualifying 2010 world cup fell jorge fossati led team throughout first second afc round third round,FIFA Qatar,-0.7184
qatar announced host 2022 fifa world cup december 2010 2011 host 2011 asian cup advanced quarter final succumbed late defeat eventual champion japan goal scored masahiko inoha 89th minute also host went win 2014 waff championship defeating jordan final competition made primarily youth reserve team qatar latter djamel belmadi head coach team replaced fahad thani head coach senior team result team positive performance,FIFA Qatar,0.891
10 month later djamel belmadi led qatar gold 2014 gulf cup advanced group stage three draw going defeat oman semi final victorious final saudi arabia playing front home crowd margin despite winning gulf cup finishing year 2014 one defeat qatar showed poor form 2015 asian cup qatar defeated united arab emirate opener continued loss iran bahrain qatar eliminated group stage point placed 4th group qatar campaign qualifying 2018 world cup russia surprise,FIFA Qatar,-0.8617
start second round world cup qualifying afc nearly perfect seven win one loss however success second round follow third round qatar finished bottom group ensuring play first world cup match home soil 2022 first team since italy 1934 qatar continued poor form 2017 gulf cup hosted kuwait qatar opened tournament win yemen followed loss iraq unconvincing draw bahrain,FIFA Qatar,0.9153
qatar took third place group four point eliminated group stage competition considered upset tournament especially winning 2014 edition however qatar excellent campaign 2019 asian cup opener saw defeat lebanon followed thrashing north korea win three time champion saudi arabia sealed team getting first place group win iraq round 16 late win defending runner south korea quarter final seeing semi final first time ever defeated host united arab emirate set final time winner japan,FIFA Qatar,0.9705
qatar ended winning final japan marking first ever major tournament title history capping one improbable asian cup run tournament history especially since conceded one goal game qatar invited 2019 copa rica placed group colombia argentina paraguay first game paraguay came back deficit tie marked first time qatar suffered one goal major competition since winning asian cup uae followed loss colombia ending team undefeated streak major competition eight,FIFA Qatar,-0.1027
loss argentina meant qatar took last place group single point eliminated group stage competition qatar invited first time 2021 concacaf gold cup played group honduras panama grenada december 2020 uefa invited qatar play friendly team group 2022 world cup qualifying group azerbaijan luxembourg portugal republic ireland serbia five team one group mean one team playing given match day friendly count qualifying group standing qatar played home match europe order allow short travel time opponent 2021 concacaf gold cup qatar claimed point group debut panama draw ensuring first point,FIFA Qatar,0.9337
reasonably common footballer represent national team birth nation nature extent practice qatari team subject scrutiny criticism various point twenty first century 2004 fifa cited intention three brazilian player lton ded leandro play qatar national team immediate trigger decision tighten eligibility rule ensure player tie country represent qatar continued pursue strategy naturalizing foreign born player within limitation new rule continued prove controversial aspire football dream program recruitment boy africa academy qatar drew substantial amount criticism qatari authority described humanitarian effort way provide competition native qatari player critic claimed merely another exploitative way acquiring naturalized player vice linking human right abuse kafala system international labour organization ilo qatar announced removal kafala december 12 2016 however law came effect 2018,FIFA Qatar,-0.7906
reform took place un international labor organization state qatar proven part many said assurance nation claimed fifa world cup 2022 though claimed independent body qatar foundering achieve side agreed revise previous act taken make possible hosting country declared pay compensation death migrant worker august 12 2022 job change september 2020 march 2022 establishment nondiscriminatory wage system worker march 2021 worker fund insurance policy workplace data showcased functioning state worker 2015 friendly algeria six eleven player starting team born outside qatar president fifa sepp blatter warned qatar fifa would monitor player selection ensure relying heavily naturalized player made comparison qatar men national handball team referring team selection 2015 world men handball championship absurdity,FIFA Qatar,0.7003
23 participating team top nine team based april 2021 fifa ranking directly qualified group stage remaining 14 team played seven single leg match seven team going group stage group stage four group four team round robin format top two team group qualifying knockout stage consisted quarter final semi final play third place final 14 team qualifier paired based april 2021 fifa ranking highest ranked team qualifier oman played lowest ranked team somalia lebanon second highest ranked team played djibouti second lowest ranked team team qualification match occupied position pot remaining team placed pot order south sudan forfeited qualifying match due high number covid 19 case among south sudan delegation algerian fa decided july 2020 send algeria local team however final squad included player arab league strengthen team,FIFA Qatar,0.8225
sixteen team drawn four group four team draw started pot completed pot team drawn assigned first available group position pot position pot host qatar automatically seeded pot assigned position a1 remaining automatically qualified team seeded respective pot based fifa world ranking april 2021 shown parenthesis syria lowest ranked team automatically qualified joined pot winner qualification match pot contained winner qualification match,FIFA Qatar,0.8316
ranking team group stage determined follows point obtained group match three point win one draw none defeat goal difference group match number goal scored group match point obtained match played team question goal difference match played team question number goal scored match played team question fair play point group match one deduction could applied player single match drawing lot knockout stage included stage quarter final final match winner match advance next stage loser eliminated losing team semi final played match third place final match winner got arab cup final case match end tie extra time played,FIFA Qatar,0.9766
knockout stage second final stage tournament group stage started 10 december quarter final ended 18 december following final match held al bayt stadium al khor best two team group total advance knockout stage compete single elimination tournament match third place played two losing team semi final match tied end original playing time two half extra time played 15 minute followed necessary penalty shoot determine winner,FIFA Qatar,0.836
working qatar bid extreme temperature desert country world cup always take place european season june july period average daytime high qatar exceeds 40 104 average daily low temperature dropping 30 86 response issue sheikh mohammed bin hamad bin khalifa al thani 2022 qatar bid chairman stated event organized june july take help technology counter harsh weather,FIFA Qatar,-0.5994
first five proposed stadium world cup unveiled beginning march 2010 stadium employ cooling technology capable reducing temperature within stadium 20 36 upper tier stadium disassembled world cup donated country le developed sport infrastructure five stadium project launched designed german architect albert speer partner air conditioning stadium player spectator solar powered carbon neutral provided arup england al khor stadium planned al khor city located 50 kilometre north doha stadium total capacity 45 330 19 830 seat forming part temporary modular upper tier al wakrah stadium located al wakrah city southern qatar total capacity 45 120 seat,FIFA Qatar,0.4767
may 2011 bribery part two member fifa executive committee tabled lord triesman english fa allegation based information whistleblower involved qatari bid fifa since opened internal inquiry matter revote 2022 world cup remains possibility allegation proven former fifa president sepp blatter conceded 2011 widespread support hold 2022 vote qatar testimony uk parliamentary inquiry board may 2011 lord triesman alleged trinidad tobago jack warner demanded million education center country paraguay nicol oz asked honorary knighthood exchange vote also two sunday time reporter testified told jacques anouma ivory coast issa hayatou cameroon paid million support qatar bid tournament,FIFA Qatar,0.7184
four denied allegation mohammed bin hammam played key role securing game qatar withdrew candidate president fifa may 2011 accused bribing 25 fifa official vote candidacy bin hammam warner suspended fifa wake allegation warner reacting suspension questioning blatter conduct adding fifa secretary general jerome valcke also told qatar bought 2022 world cup valcke subsequently issued statement denying suggested bribery saying instead country used financial muscle lobby support qatar official denied impropriety insist corruption allegation driven envy mistrust want world cup staged qatar,FIFA Qatar,-0.802
