,Country,Group,Year,Host,PastGroup,DifficultGroup,RankFIFA,QualiStreak,Caps,eliteClub,Age
35,Costa Rica,A,2006-01-01,0,0,0,0.2777777777777778,0.05,0.5118811881188118,0.0,0.694035182862477
36,England,B,2006-01-01,0,1,0,0.1,0.1,0.3534653465346535,0.9444444444444444,0.3577657911930036
37,Sweden,B,2006-01-01,0,1,0,0.16666666666666666,0.05,0.5198019801980197,0.2222222222222222,0.7208061441410173
38,Paraguay,B,2006-01-01,0,0,0,0.35555555555555557,0.1,0.3534653465346535,0.1111111111111111,0.5790199123480011
39,Trinidad and Tobago,B,2006-01-01,0,0,0,0.5111111111111111,,0.5386138613861386,0.0,0.861010959800636
40,Argentina,C,2006-01-01,0,1,1,0.08888888888888889,0.4,0.1752475247524752,0.4444444444444444,0.487395625217501
41,Netherlands,C,2006-01-01,0,1,1,0.022222222222222223,0.0,0.19702970297029698,0.8333333333333334,0.5538429179174654
42,Ivory Coast,C,2006-01-01,0,0,1,0.34444444444444444,,0.14950495049504947,0.2777777777777778,0.3813488187755348
43,Serbia and Montenegro,C,2006-01-01,0,0,1,0.4777777777777778,0.0,0.23564356435643566,0.16666666666666666,0.7604248623028749
44,Portugal,D,2006-01-01,0,1,0,0.06666666666666667,0.05,0.4079207920792079,0.7222222222222222,0.7768830501190216
45,Mexico,D,2006-01-01,0,1,0,0.03333333333333333,0.15,0.692079207920792,0.05555555555555555,0.6092410154952801
46,Angola,D,2006-01-01,0,0,0,0.6222222222222222,,0.06435643564356433,0.05555555555555555,0.49874543735209054
47,Iran,D,2006-01-01,0,0,0,0.24444444444444444,0.0,0.4613861386138614,0.05555555555555555,0.5685535035267636
48,Italy,E,2006-01-01,0,1,0,0.13333333333333333,0.55,0.37227722772277216,0.6111111111111112,0.8309242875923458
49,Ghana,E,2006-01-01,0,1,0,0.5222222222222223,,0.004950495049504992,0.16666666666666666,0.255060553805891
50,Czech republic,E,2006-01-01,0,0,0,,,,,
51,United States,E,2006-01-01,0,0,0,0.044444444444444446,0.2,0.6425742574257425,0.16666666666666666,0.8199969726945772
52,Brazil,F,2006-01-01,0,1,0,0.0,0.85,0.6198019801980197,1.0,0.8365895914497121
53,Australia,F,2006-01-01,0,1,0,0.45555555555555555,0.0,0.2376237623762376,0.16666666666666666,0.7938021440117007
54,Croatia,F,2006-01-01,0,0,0,0.24444444444444444,0.1,0.3683168316831683,0.16666666666666666,0.7104165529992026
55,Japan,F,2006-01-01,0,0,0,0.18888888888888888,0.1,0.6613861386138613,0.0,0.6749075806864177
56,Switzerland,G,2006-01-01,0,1,0,0.37777777777777777,0.0,0.15544554455445542,0.2777777777777778,0.3348357138855601
57,France,G,2006-01-01,0,1,0,0.07777777777777778,0.1,0.5069306930693069,0.8888888888888888,0.8987735029417594
58,South Korea,G,2006-01-01,0,0,0,0.3111111111111111,0.25,,,
59,Togo,G,2006-01-01,0,0,0,0.6666666666666666,,0.101980198019802,0.05555555555555555,0.3850936806473536
60,Spain,H,2006-01-01,0,1,0,0.044444444444444446,0.35,0.19801980198019797,0.6666666666666666,0.4189894816922777
61,Ukraine,H,2006-01-01,0,1,0,0.4888888888888889,,0.3,0.05555555555555555,0.46388941531439265
62,Tunisia,H,2006-01-01,0,0,0,0.2222222222222222,0.1,0.32178217821782173,0.05555555555555555,0.5236661206192564
63,Saudi Arabia,H,2006-01-01,0,0,0,0.36666666666666664,0.15,0.6198019801980197,0.0,0.5416097024695238
64,Uruguay,A,2010-01-01,0,1,1,0.26666666666666666,0.0,0.14752475247524754,0.2777777777777778,0.5667674924802037
65,Mexico,A,2010-01-01,0,1,1,0.18888888888888888,0.2,0.6099009900990099,0.2222222222222222,0.6454864094678205
66,South Africa,A,2010-01-01,1,0,1,0.9333333333333333,0.0,0.3643564356435644,0.0,0.6037167962821499
67,France,A,2010-01-01,0,0,1,0.08888888888888889,0.15,0.32079207920792074,0.7777777777777778,0.7245318015929809
68,Argentina,B,2010-01-01,0,1,0,0.05555555555555555,0.45,0.1792079207920792,0.5,0.653110564150447
69,South Korea,B,2010-01-01,0,1,0,0.5222222222222223,0.3,0.6405940594059406,0.05555555555555555,0.6471763984151031
70,Greece,B,2010-01-01,0,0,0,0.16666666666666666,0.0,0.32079207920792074,0.05555555555555555,0.7287183651214753
71,Nigeria,B,2010-01-01,0,0,0,0.34444444444444444,0.0,0.2128712871287129,0.0,0.43212530487342654
72,United States,C,2010-01-01,0,1,0,0.1111111111111111,0.25,0.4277227722772277,0.05555555555555555,0.5972833156305635
73,England,C,2010-01-01,0,1,0,0.06666666666666667,0.15,0.4346534653465346,0.6111111111111112,0.8650889505152464
74,Slovenia,C,2010-01-01,0,0,0,0.5333333333333333,0.0,0.13762376237623763,0.05555555555555555,0.5843395366479693
75,Algeria,C,2010-01-01,0,0,0,0.3111111111111111,0.0,0.09999999999999996,0.0,0.5061775478361616
76,Germany,D,2010-01-01,0,1,0,0.044444444444444446,0.7,0.2277227722772277,0.3888888888888889,0.2870359128652676
77,Ghana,D,2010-01-01,0,1,0,0.4111111111111111,0.05,0.16138613861386134,0.1111111111111111,0.1851372611120854
78,Australia,D,2010-01-01,0,0,0,0.25555555555555554,0.05,0.37029702970297035,0.0,0.8790889725898922
79,Serbia,D,2010-01-01,0,0,0,0.2111111111111111,0.05,0.1752475247524752,0.2777777777777778,0.4618537468097109
80,Netherlands,E,2010-01-01,0,1,0,0.022222222222222223,0.05,0.47673267326732666,0.7777777777777778,0.731253348542399
81,Japan,E,2010-01-01,0,1,0,0.43333333333333335,0.15,0.7099009900990099,0.0,0.7544714921476757
82,Denmark,E,2010-01-01,0,0,0,0.28888888888888886,0.0,0.45544554455445546,0.2777777777777778,0.762633370586255
83,Cameroon,E,2010-01-01,0,0,0,0.14444444444444443,0.0,0.297029702970297,0.2222222222222222,0.3250222553394092
84,Paraguay,F,2010-01-01,0,1,0,0.2222222222222222,0.15,0.38514851485148516,0.2222222222222222,0.8343810831663314
85,Slovakia,F,2010-01-01,0,1,0,0.35555555555555557,0.0,0.18118811881188115,0.05555555555555555,0.47769739319048315
86,New Zealand,F,2010-01-01,0,0,0,0.9111111111111111,0.0,0.1118811881188119,0.0,0.6934398458469565
87,Italy,F,2010-01-01,0,0,0,0.03333333333333333,0.6,0.4316831683168316,0.5,0.8329791605168821
88,Brazil,G,2010-01-01,0,1,1,0.0,0.9,0.503960396039604,0.5555555555555556,0.9011932598435501
89,Portugal,G,2010-01-01,0,1,1,0.1,0.1,0.2861386138613861,0.6111111111111112,0.7532616136967801
90,Ivory Coast,G,2010-01-01,0,0,1,0.2,0.05,0.3831683168316831,0.2777777777777778,0.5645205753571126
91,North Korea,G,2010-01-01,0,0,1,1.0,0.0,0.16336633663366337,0.0,0.2781826753118904
92,Spain,H,2010-01-01,0,1,0,0.011111111111111112,0.4,0.49504950495049493,0.8333333333333334,0.44873712804841775
93,Chile,H,2010-01-01,0,1,0,0.17777777777777778,0.0,0.1841584158415841,0.0,0.44971655346104783
94,Switzerland,H,2010-01-01,0,0,0,0.13333333333333333,0.05,0.2475247524752475,0.0,0.5771378792021639
95,Honduras,H,2010-01-01,0,0,0,0.37777777777777777,0.0,0.5841584158415841,0.0,0.7619420114714577
96,Brazil,A,2014-01-01,1,1,0,0.1111111111111111,0.95,0.29801980198019795,0.6666666666666666,0.7720435363154413
97,Mexico,A,2014-01-01,0,1,0,0.25555555555555554,0.25,0.5613861386138613,0.16666666666666666,0.5942490172933976
98,Croatia,A,2014-01-01,0,0,0,0.18888888888888888,0.0,0.5306930693069306,0.16666666666666666,0.6114945863236191
99,Cameroon,A,2014-01-01,0,0,0,0.6444444444444445,0.05,0.31089108910891083,0.16666666666666666,0.48770289593518884
100,Netherlands,B,2014-01-01,0,1,1,0.07777777777777778,0.1,0.27524752475247516,0.4444444444444444,0.46663564735372576
101,Chile,B,2014-01-01,0,1,1,0.12222222222222222,0.05,0.41881188118811885,0.16666666666666666,0.7136044866952124
102,Spain,B,2014-01-01,0,0,1,0.0,0.45,1.0,0.9444444444444444,0.7545099009873866
103,Australia,B,2014-01-01,0,0,1,0.6222222222222222,0.1,0.02772277227722776,0.05555555555555555,0.44996621091916855
104,Colombia,C,2014-01-01,0,1,0,0.03333333333333333,0.0,0.2663366336633663,0.2777777777777778,0.6287209509339861
105,Greece,C,2014-01-01,0,1,0,0.15555555555555556,0.05,0.5059405940594058,0.05555555555555555,0.7956649727376828
106,Ivory Coast,C,2014-01-01,0,0,0,0.17777777777777778,0.1,0.49702970297029697,0.1111111111111111,0.6866990944776833
107,Japan,C,2014-01-01,0,0,0,0.4777777777777778,0.2,0.5425742574257425,0.16666666666666666,0.6040240669998378
108,Costa Rica,D,2014-01-01,0,1,1,0.3333333333333333,0.0,0.39801980198019793,0.05555555555555555,0.6227291719390755
109,Uruguay,D,2014-01-01,0,1,1,0.05555555555555555,0.05,0.7603960396039604,0.2777777777777778,0.8025785638856555
110,Italy,D,2014-01-01,0,0,1,0.08888888888888889,0.65,0.3683168316831683,0.6666666666666666,0.6983945861696709
111,England,D,2014-01-01,0,0,1,0.1,0.2,0.27326732673267323,0.8333333333333334,0.48286338213160745
112,France,E,2014-01-01,0,1,0,0.2222222222222222,0.2,0.11962196219621958,0.6666666666666666,0.4660717357525148
113,Switzerland,E,2014-01-01,0,1,0,0.06666666666666667,0.1,0.3564356435643564,0.1111111111111111,0.40222402315844313
114,Ecuador,E,2014-01-01,0,0,0,0.23333333333333334,0.0,0.42871287128712865,0.05555555555555555,0.6705289729593675
115,Honduras,E,2014-01-01,0,0,0,0.36666666666666664,0.05,0.6683993399339933,0.0,0.8602486365275044
116,Argentina,F,2014-01-01,0,1,0,0.022222222222222223,0.5,0.3564356435643564,0.6666666666666666,0.8626307847737442
117,Nigeria,F,2014-01-01,0,1,0,0.35555555555555557,0.05,0.26435643564356437,0.1111111111111111,0.36024316135436085
118,Bosnia and Herzegovina,F,2014-01-01,0,0,0,0.16666666666666666,0.0,0.22079207920792077,0.05555555555555555,0.5619663875163344
119,Iran,F,2014-01-01,0,0,0,0.5333333333333333,0.0,0.3198019801980198,0.0,0.7940902103095328
120,Germany,G,2014-01-01,0,1,1,0.011111111111111112,0.75,0.5841584158415841,0.8888888888888888,0.42162048721247886
121,United States,G,2014-01-01,0,1,1,0.13333333333333333,0.3,0.4346534653465346,0.05555555555555555,0.6834919563618179
122,Portugal,G,2014-01-01,0,0,1,0.14444444444444443,0.15,0.491089108910891,0.3888888888888889,0.7993138125102236
123,Ghana,G,2014-01-01,0,0,1,0.24444444444444444,0.1,0.32178217821782173,0.16666666666666666,0.3028411504063284
124,Belgium,H,2014-01-01,0,1,0,0.044444444444444446,0.0,,,
125,Algeria,H,2014-01-01,0,1,0,0.34444444444444444,0.05,0.0,0.1111111111111111,0.48681949262183677
126,Russia,H,2014-01-01,0,0,0,0.2,0.0,0.23069306930693065,0.0,0.6303149177819911
127,South Korea,H,2014-01-01,0,0,0,0.6111111111111112,0.35,0.2237623762376237,0.0,0.4227343435640965
128,Uruguay,A,2018-01-01,0,1,0,0.14444444444444443,0.1,0.5851485148514851,0.2777777777777778,0.7343068512994199
129,Russia,A,2018-01-01,1,1,0,0.7666666666666667,0.05,0.27227722772277224,0.0,0.8483811052409778
130,Saudi Arabia,A,2018-01-01,0,0,0,0.7333333333333333,0.0,0.4039603960396039,0.0,0.8309434920122004
131,Egypt,A,2018-01-01,0,0,0,0.4888888888888889,0.0,0.47227722772277214,0.1111111111111111,0.8714072046476992
132,Spain,B,2018-01-01,0,1,0,0.1,0.5,0.5841584158415841,0.8333333333333334,0.7918817020261525
133,Portugal,B,2018-01-01,0,1,0,0.03333333333333333,0.2,0.5227722772277227,0.3888888888888889,0.772177967254429
134,Iran,B,2018-01-01,0,0,0,0.4,0.05,0.31782178217821777,0.0,0.5890638239324176
135,Morocco,B,2018-01-01,0,0,0,0.4444444444444444,0.0,0.1702970297029703,0.16666666666666666,0.5895055255890931
136,France,C,2018-01-01,0,1,0,0.06666666666666667,0.25,0.21584158415841584,0.7222222222222222,0.39531043201046917
137,Denmark,C,2018-01-01,0,1,0,0.12222222222222222,0.0,0.2277227722772277,0.16666666666666666,0.5749677797584939
138,Peru,C,2018-01-01,0,0,0,0.1111111111111111,0.0,0.43960396039603955,0.0,0.6228636028780643
139,Australia,C,2018-01-01,0,0,0,0.3888888888888889,0.15,0.3019801980198019,0.0,0.7348253706355182
140,Croatia,D,2018-01-01,0,1,1,0.2111111111111111,0.05,0.5405940594059405,0.4444444444444444,0.6975303872761746
141,Argentina,D,2018-01-01,0,1,1,0.044444444444444446,0.55,0.47326732673267324,0.6666666666666666,0.9584608398525949
142,Nigeria,D,2018-01-01,0,0,1,0.5222222222222223,0.1,0.20594059405940593,0.1111111111111111,0.38472879667009924
143,Iceland,D,2018-01-01,0,0,1,0.23333333333333334,0.0,0.5346534653465346,0.05555555555555555,0.8072260334906816
144,Brazil,E,2018-01-01,0,1,0,0.011111111111111112,1.0,0.30297029702970296,0.8333333333333334,0.8106252158051017
145,Switzerland,E,2018-01-01,0,1,0,0.05555555555555555,0.15,0.47326732673267324,0.3333333333333333,0.5813244427306586
146,Serbia,E,2018-01-01,0,0,0,0.36666666666666664,0.0,0.21386138613861383,0.1111111111111111,0.513263978762834
147,Costa Rica,E,2018-01-01,0,0,0,0.24444444444444444,0.05,0.7920792079207919,0.05555555555555555,1.0
148,Sweden,F,2018-01-01,0,1,1,0.25555555555555554,0.0,0.3356435643564356,0.05555555555555555,0.7513411717112326
149,Mexico,F,2018-01-01,0,1,1,0.15555555555555556,0.3,0.9960396039603959,0.2222222222222222,0.9138105636886018
150,South Korea,F,2018-01-01,0,0,1,0.6222222222222222,0.4,0.2900990099009901,0.0,0.6785756248788148
151,Germany,F,2018-01-01,0,0,1,0.0,0.8,0.5584158415841584,0.8888888888888888,0.5741996029642749
152,Belgium,G,2018-01-01,0,1,0,0.022222222222222223,0.05,0.699009900990099,0.5555555555555556,0.6462545862620396
153,England,G,2018-01-01,0,1,0,0.12222222222222222,0.25,0.09999999999999996,0.6666666666666666,0.3985943878057568
154,Tunisia,G,2018-01-01,0,0,0,0.2222222222222222,0.0,0.0821782178217822,0.0,0.4754312716475364
155,Panama,G,2018-01-01,0,0,0,0.6,0.0,0.9544554455445544,0.0,0.8528941439070156
156,Colombia,H,2018-01-01,0,1,0,0.16666666666666666,0.05,0.32871287128712867,0.3333333333333333,0.7768062324395999
157,Japan,H,2018-01-01,0,1,0,0.6666666666666666,0.25,0.6475247524752474,0.05555555555555555,0.8067075141545833
158,Senegal,H,2018-01-01,0,0,0,0.28888888888888886,0.0,0.22871287128712872,0.05555555555555555,0.5501748737250682
159,Poland,H,2018-01-01,0,0,0,0.07777777777777778,0.0,0.4306930693069307,0.16666666666666666,0.7633247297010518
