,No.,Pos.,Player,Date of birth (age),Caps,Club,Year
16,17,FW,Bernard Parker,16 March 1986,28,Twente,2010
17,18,FW,Siyabonga Nomvethe,2 December 1977,76,Moroka Swallows,2010
18,19,MF,Surprise Moriri,20 March 1980,34,Mamelodi Sundowns,2010
19,20,DF,Bongani Khumalo,6 January 1987,14,Supersport United,2010
20,21,DF,Siyabonga Sangweni,29 September 1981,8,Golden Arrows,2010
21,22,GK,Shu-Aib Walters,26 December 1981,0,Maritzburg United,2010
22,23,MF,Thanduyise Khuboni,23 May 1986,9,Golden Arrows,2010
0,1,GK,Fernando Muslera,16 June 1986,6,Lazio,2010
1,2,DF,Diego Lugano (c),2 November 1980,42,Fenerbahçe,2010
2,3,DF,Diego Godín,16 February 1986,38,Villarreal,2010
3,4,DF,Jorge Fucile,19 November 1984,24,Porto,2010
4,5,MF,Walter Gargano,23 July 1984,28,Napoli,2010
5,6,DF,Mauricio Victorino,11 October 1982,4,Universidad de Chile,2010
6,7,FW,Edinson Cavani,14 February 1987,14,Palermo,2010
7,8,MF,Sebastián Eguren,8 January 1981,27,AIK,2010
8,9,FW,Luis Suárez,24 January 1987,30,Ajax,2010
9,10,FW,Diego Forlán,19 May 1979,62,Atlético Madrid,2010
10,11,MF,Álvaro Pereira,28 November 1985,15,Porto,2010
11,12,GK,Juan Castillo,17 April 1978,11,Deportivo Cali,2010
12,13,FW,Sebastián Abreu,17 October 1976,56,Botafogo,2010
13,14,MF,Nicolás Lodeiro,21 March 1989,4,Ajax,2010
14,15,MF,Diego Pérez,18 May 1980,50,Monaco,2010
15,16,DF,Maxi Pereira,8 June 1984,37,Benfica,2010
16,17,MF,Egidio Arévalo Ríos,1 January 1982,6,Peñarol,2010
17,18,MF,Ignacio González,14 May 1982,17,Levadiakos,2010
18,19,DF,Andrés Scotti,14 December 1975,26,Colo-Colo,2010
19,20,MF,Álvaro Fernández,11 October 1985,7,Universidad de Chile,2010
20,21,FW,Sebastián Fernández,23 May 1985,6,Banfield,2010
21,22,DF,Martín Cáceres,7 April 1987,19,Sevilla,2010
22,23,GK,Martín Silva,25 March 1983,1,Defensor Sporting,2010
0,1,GK,Diego Pozo,16 February 1978,3,Colón,2010
1,2,DF,Martín Demichelis,20 December 1980,25,Bayern Munich,2010
2,3,DF,Clemente Rodríguez,31 July 1981,12,Estudiantes,2010
3,4,DF,Nicolás Burdisso,12 April 1981,29,Roma,2010
4,5,MF,Mario Bolatti,17 February 1985,5,Fiorentina,2010
5,6,DF,Gabriel Heinze,19 April 1978,64,Marseille,2010
6,7,MF,Ángel Di María,14 February 1988,8,Benfica,2010
7,8,MF,Juan Sebastián Verón,9 March 1975,70,Estudiantes,2010
8,9,FW,Gonzalo Higuaín,10 December 1987,5,Real Madrid,2010
9,10,FW,Lionel Messi,24 June 1987,45,Barcelona,2010
10,11,FW,Carlos Tevez,5 February 1984,54,Manchester City,2010
11,12,DF,Ariel Garcé,14 July 1979,4,Colón,2010
12,13,DF,Walter Samuel,23 March 1978,54,Inter Milan,2010
13,14,MF,Javier Mascherano (c),8 June 1984,57,Liverpool,2010
14,15,DF,Nicolás Otamendi,12 February 1988,7,Vélez Sársfield,2010
15,16,FW,Sergio Agüero,2 June 1988,22,Atlético Madrid,2010
16,17,MF,Jonás Gutiérrez,5 July 1983,16,Newcastle United,2010
17,18,FW,Martín Palermo,7 November 1973,14,Boca Juniors,2010
18,19,FW,Diego Milito,12 June 1979,21,Inter Milan,2010
19,20,MF,Maxi Rodríguez,2 January 1981,36,Liverpool,2010
20,21,GK,Mariano Andújar,30 July 1983,4,Catania,2010
21,22,GK,Sergio Romero,22 February 1987,6,AZ,2010
22,23,MF,Javier Pastore,20 June 1989,1,Palermo,2010
0,1,GK,Kostas Chalkias,30 May 1974,27,PAOK,2010
1,2,DF,Giourkas Seitaridis,4 June 1981,69,Panathinaikos,2010
2,3,DF,Christos Patsatzoglou,19 March 1979,43,Omonia,2010
3,4,DF,Nikos Spyropoulos,10 October 1983,19,Panathinaikos,2010
4,5,DF,Vangelis Moras,18 August 1981,11,Bologna,2010
5,6,MF,Alexandros Tziolis,13 February 1985,19,Siena,2010
6,7,FW,Georgios Samaras,21 February 1985,34,Celtic,2010
7,8,DF,Avraam Papadopoulos,3 December 1984,14,Olympiacos,2010
8,9,FW,Angelos Charisteas,9 February 1980,84,1. FC Nürnberg,2010
9,10,MF,Giorgos Karagounis (c),6 March 1977,93,Panathinaikos,2010
10,11,DF,Loukas Vyntra,5 February 1981,29,Panathinaikos,2010
11,12,GK,Alexandros Tzorvas,12 August 1982,8,Panathinaikos,2010
12,13,GK,Michalis Sifakis,9 September 1984,2,Aris,2010
13,14,FW,Dimitris Salpingidis,18 August 1981,36,Panathinaikos,2010
14,15,DF,Vasilis Torosidis,10 June 1985,26,Olympiacos,2010
15,16,DF,Sotirios Kyrgiakos,23 July 1979,58,Liverpool,2010
16,17,FW,Theofanis Gekas,23 May 1980,47,Hertha BSC,2010
17,18,MF,Sotiris Ninis,3 April 1990,4,Panathinaikos,2010
18,19,DF,Sokratis Papastathopoulos,9 June 1988,10,Genoa,2010
19,20,FW,Pantelis Kapetanos,8 June 1983,3,Steaua București,2010
20,21,MF,Kostas Katsouranis,21 June 1979,69,Panathinaikos,2010
21,22,DF,Stelios Malezas,11 March 1985,0,PAOK,2010
22,23,MF,Sakis Prittas,9 January 1979,0,Aris,2010
0,1,GK,Vincent Enyeama,29 August 1982,51,Hapoel Tel Aviv,2010
1,2,DF,Joseph Yobo,6 September 1980,64,Everton,2010
2,3,DF,Taye Taiwo,16 April 1985,35,Marseille,2010
3,4,FW,Nwankwo Kanu (c),1 August 1976,72,Portsmouth,2010
4,5,DF,Rabiu Afolabi,18 April 1980,12,Red Bull Salzburg,2010
5,6,DF,Danny Shittu,2 September 1980,23,Bolton Wanderers,2010
6,7,FW,John Utaka,8 January 1982,41,Portsmouth,2010
7,8,FW,Yakubu,22 November 1982,47,Everton,2010
8,9,FW,Obafemi Martins,28 October 1984,27,VfL Wolfsburg,2010
9,10,FW,Brown Ideye[4],10 October 1988,0,Sochaux,2010
10,11,FW,Peter Odemwingie,15 July 1981,43,Lokomotiv Moscow,2010
11,12,FW,Kalu Uche,15 November 1982,18,Almería,2010
12,13,MF,Ayila Yussuf,4 November 1984,24,Dynamo Kyiv,2010
13,14,MF,Sani Kaita,2 May 1986,16,Alania Vladikavkaz,2010
14,15,MF,Lukman Haruna,4 December 1990,5,Monaco,2010
15,16,GK,Austin Ejide,8 April 1984,16,Hapoel Petah Tikva,2010
16,17,DF,Chidi Odiah,17 December 1983,21,CSKA Moscow,2010
17,18,FW,Victor Obinna,25 March 1987,30,Málaga,2010
18,19,FW,Chinedu Obasi,1 June 1986,17,1899 Hoffenheim,2010
19,20,MF,Dickson Etuhu,8 June 1982,11,Fulham,2010
20,21,DF,Elderson Echiéjilé,20 January 1988,9,Rennes,2010
21,22,DF,Dele Adeleye,25 December 1988,5,Sparta Rotterdam,2010
22,23,GK,Dele Aiyenugba,20 November 1983,9,Bnei Yehuda,2010
0,1,GK,Lee Woon-jae,26 April 1973,130,Suwon Samsung Bluewings,2010
1,2,DF,Oh Beom-seok,29 July 1984,37,Ulsan Hyundai,2010
2,3,DF,Kim Hyung-il,27 April 1984,2,Pohang Steelers,2010
3,4,DF,Cho Yong-hyung,3 November 1983,31,Jeju United,2010
4,5,MF,Kim Nam-il,14 March 1977,92,Tom Tomsk,2010
5,6,MF,Kim Bo-kyung,6 October 1989,6,Oita Trinita,2010
6,7,MF,Park Ji-sung (c),25 February 1981,88,Manchester United,2010
7,8,MF,Kim Jung-woo,9 May 1982,54,Gwangju Sangmu,2010
8,9,FW,Ahn Jung-hwan,27 January 1976,70,Dalian Shide,2010
9,10,FW,Park Chu-young,10 July 1985,40,Monaco,2010
10,11,FW,Lee Seung-yeoul,6 March 1989,8,FC Seoul,2010
11,12,DF,Lee Young-pyo,23 April 1977,112,Al Hilal,2010
12,13,MF,Kim Jae-sung,3 October 1983,7,Pohang Steelers,2010
13,14,DF,Lee Jung-soo,8 January 1980,24,Kashima Antlers,2010
14,15,DF,Kim Dong-jin,29 January 1982,61,Ulsan Hyundai,2010
15,16,MF,Ki Sung-yueng,24 January 1989,21,Celtic,2010
16,17,FW,Lee Chung-yong,2 July 1988,23,Bolton Wanderers,2010
17,18,GK,Jung Sung-ryong,4 January 1985,15,Seongnam Ilhwa Chunma,2010
18,19,FW,Yeom Ki-hun,30 March 1983,33,Suwon Samsung Bluewings,2010
19,20,FW,Lee Dong-gook,29 April 1979,83,Jeonbuk Hyundai Motors,2010
20,21,GK,Kim Young-kwang,28 June 1983,14,Ulsan Hyundai,2010
21,22,DF,Cha Du-ri,25 July 1980,46,SC Freiburg,2010
22,23,DF,Kang Min-soo,14 February 1986,31,Suwon Samsung Bluewings,2010
0,1,GK,Lounès Gaouaoui,28 September 1977,48,ASO Chlef,2010
1,2,DF,Madjid Bougherra,7 October 1982,41,Rangers,2010
2,3,DF,Nadir Belhadj,18 June 1982,45,Portsmouth,2010
3,4,DF,Antar Yahia (c),21 March 1982,44,VfL Bochum,2010
4,5,DF,Rafik Halliche,2 September 1986,17,Nacional,2010
5,6,MF,Yazid Mansouri,25 February 1978,67,Lorient,2010
6,7,MF,Ryad Boudebouz,19 February 1990,2,Sochaux,2010
7,8,MF,Mehdi Lacen,5 January 1984,3,Racing Santander,2010
8,9,FW,Abdelkader Ghezzal,5 December 1984,19,Siena,2010
9,10,FW,Rafik Saïfi,7 February 1975,62,Istres,2010
10,11,FW,Rafik Djebbour,8 March 1984,16,AEK Athens,2010
11,12,DF,Habib Bellaïd,28 March 1986,1,Eintracht Frankfurt,2010
12,13,FW,Karim Matmour,25 June 1985,23,Borussia Mönchengladbach,2010
13,14,DF,Abdelkader Laïfaoui,29 July 1981,7,ES Sétif,2010
14,15,MF,Karim Ziani,17 August 1982,55,VfL Wolfsburg,2010
15,16,GK,Faouzi Chaouchi,5 December 1984,10,ES Sétif,2010
16,17,MF,Adlène Guedioura,12 November 1985,2,Wolverhampton Wanderers,2010
17,18,DF,Carl Medjani,15 May 1985,0,Ajaccio,2010
18,19,MF,Hassan Yebda,14 April 1984,9,Portsmouth,2010
19,20,DF,Djamel Mesbah,9 October 1984,1,Lecce,2010
20,21,MF,Foued Kadir,5 December 1983,2,Valenciennes,2010
21,22,MF,Djamel Abdoun,14 February 1986,7,Nantes,2010
22,23,GK,Raïs M'Bolhi,25 April 1986,1,Slavia Sofia,2010
0,1,GK,David James,1 August 1970,50,Portsmouth,2010
1,2,DF,Glen Johnson,23 August 1984,22,Liverpool,2010
2,3,DF,Ashley Cole,20 December 1980,78,Chelsea,2010
3,4,MF,Steven Gerrard (c),30 May 1980,80,Liverpool,2010
4,5,DF,Michael Dawson[5],18 November 1983,0,Tottenham Hotspur,2010
5,6,DF,John Terry,7 December 1980,60,Chelsea,2010
6,7,MF,Aaron Lennon,16 April 1987,17,Tottenham Hotspur,2010
7,8,MF,Frank Lampard,20 June 1978,78,Chelsea,2010
8,9,FW,Peter Crouch,30 January 1981,38,Tottenham Hotspur,2010
9,10,FW,Wayne Rooney,24 October 1985,60,Manchester United,2010
10,11,MF,Joe Cole,8 November 1981,54,Chelsea,2010
11,12,GK,Robert Green,18 January 1980,10,West Ham United,2010
12,13,DF,Stephen Warnock,12 December 1981,1,Aston Villa,2010
13,14,MF,Gareth Barry,23 February 1981,36,Manchester City,2010
14,15,DF,Matthew Upson,18 April 1979,19,West Ham United,2010
15,16,MF,James Milner,4 January 1986,8,Aston Villa,2010
16,17,MF,Shaun Wright-Phillips,25 October 1981,31,Manchester City,2010
17,18,DF,Jamie Carragher,28 January 1978,36,Liverpool,2010
18,19,FW,Jermain Defoe,7 October 1982,39,Tottenham Hotspur,2010
19,20,DF,Ledley King,12 October 1980,20,Tottenham Hotspur,2010
20,21,FW,Emile Heskey,11 January 1978,58,Aston Villa,2010
21,22,MF,Michael Carrick,28 July 1981,22,Manchester United,2010
22,23,GK,Joe Hart,19 April 1987,3,Birmingham City,2010
0,1,GK,Samir Handanović,14 July 1984,39,Udinese,2010
1,2,DF,Mišo Brečko,1 May 1984,31,1. FC Köln,2010
2,3,DF,Elvedin Džinić,25 August 1985,0,Maribor,2010
3,4,DF,Marko Šuler,9 March 1983,17,Gent,2010
4,5,DF,Boštjan Cesar,9 July 1982,43,Grenoble,2010
5,6,DF,Branko Ilić,6 February 1983,37,Lokomotiv Moscow,2010
6,7,FW,Nejc Pečnik,3 January 1986,8,Nacional,2010
7,8,MF,Robert Koren (c),20 September 1980,46,West Bromwich Albion,2010
8,9,FW,Zlatan Ljubijankić,15 December 1983,17,Gent,2010
9,10,FW,Valter Birsa,7 August 1986,34,Auxerre,2010
10,11,FW,Milivoje Novaković,18 May 1979,38,1. FC Köln,2010
11,12,GK,Jasmin Handanović,28 January 1978,3,Mantova,2010
12,13,DF,Bojan Jokić,17 May 1986,34,Chievo,2010
13,14,FW,Zlatko Dedić,10 May 1984,24,VfL Bochum,2010
14,15,MF,Rene Krhin,21 May 1990,4,Inter Milan,2010
15,16,GK,Aleksander Šeliga,1 February 1980,1,Sparta Rotterdam,2010
16,17,MF,Andraž Kirm,6 September 1984,26,Wisła Kraków,2010
17,18,MF,Aleksandar Radosavljević,25 April 1979,15,Larissa,2010
18,19,DF,Suad Fileković,16 September 1978,14,Maribor,2010
19,20,MF,Andrej Komac,4 December 1979,41,Maccabi Tel Aviv,2010
20,21,MF,Dalibor Stevanović,27 September 1984,15,Vitesse,2010
21,22,DF,Matej Mavrič,29 January 1979,32,TuS Koblenz,2010
22,23,FW,Tim Matavž,13 January 1989,1,Groningen,2010
0,1,GK,Tim Howard,6 March 1979,51,Everton,2010
1,2,DF,Jonathan Spector,1 March 1986,25,West Ham United,2010
2,3,DF,Carlos Bocanegra (c),25 May 1979,79,Rennes,2010
3,4,MF,Michael Bradley,31 July 1987,43,Borussia Mönchengladbach,2010
4,5,DF,Oguchi Onyewu,13 May 1982,54,Milan,2010
5,6,DF,Steve Cherundolo,19 February 1979,60,Hannover 96,2010
6,7,MF,DaMarcus Beasley,24 May 1982,92,Rangers,2010
7,8,MF,Clint Dempsey,9 March 1983,62,Fulham,2010
8,9,FW,Herculez Gomez,6 April 1982,4,Puebla,2010
9,10,MF,Landon Donovan,4 March 1982,123,LA Galaxy,2010
10,11,MF,Stuart Holden,1 August 1985,14,Bolton Wanderers,2010
11,12,DF,Jonathan Bornstein,7 November 1984,32,Chivas USA,2010
12,13,MF,Ricardo Clark,10 March 1983,29,Eintracht Frankfurt,2010
13,14,FW,Edson Buddle,21 May 1981,3,LA Galaxy,2010
14,15,DF,Jay DeMerit,4 December 1979,19,Watford,2010
15,16,MF,José Francisco Torres,29 October 1987,10,Pachuca,2010
16,17,FW,Jozy Altidore,6 November 1989,25,Hull City,2010
17,18,GK,Brad Guzan,9 September 1984,16,Aston Villa,2010
18,19,MF,Maurice Edu,18 April 1986,13,Rangers,2010
19,20,FW,Robbie Findley,4 August 1985,6,Real Salt Lake,2010
20,21,DF,Clarence Goodson,17 May 1982,14,Start,2010
21,22,MF,Benny Feilhaber,19 January 1985,32,AGF,2010
22,23,GK,Marcus Hahnemann,15 June 1972,7,Wolverhampton Wanderers,2010
0,1,GK,Mark Schwarzer,6 October 1972,75,Fulham,2010
1,2,DF,Lucas Neill (c),9 March 1978,56,Galatasaray,2010
2,3,DF,Craig Moore,12 December 1975,50,Unattached,2010
3,4,MF,Tim Cahill,6 December 1979,40,Everton,2010
4,5,MF,Jason Culina,5 August 1980,49,Gold Coast United,2010
5,6,DF,Michael Beauchamp,8 March 1981,21,Al Jazira,2010
6,7,MF,Brett Emerton,22 February 1979,72,Blackburn Rovers,2010
7,8,DF,Luke Wilkshire,1 October 1981,42,Dynamo Moscow,2010
8,9,FW,Joshua Kennedy,20 August 1982,19,Nagoya Grampus,2010
9,10,FW,Harry Kewell,22 September 1978,45,Galatasaray,2010
10,11,DF,Scott Chipperfield,30 December 1975,65,Basel,2010
11,12,GK,Adam Federici,31 January 1985,1,Reading,2010
12,13,MF,Vince Grella,5 October 1979,45,Blackburn Rovers,2010
13,14,FW,Brett Holman,27 March 1984,31,AZ,2010
14,15,MF,Mile Jedinak,3 August 1984,11,Antalyaspor,2010
15,16,MF,Carl Valeri,14 August 1984,22,Sassuolo,2010
16,17,FW,Nikita Rukavytsya,22 June 1987,3,Roeselare,2010
17,18,GK,Eugene Galekovic[6],12 June 1981,4,Adelaide United,2010
18,19,MF,Richard Garcia,4 September 1981,7,Hull City,2010
19,20,DF,Mark Milligan,4 September 1985,10,JEF United,2010
20,21,DF,David Carney,30 November 1983,25,Twente,2010
21,22,MF,Dario Vidošić,12 April 1987,7,MSV Duisburg,2010
22,23,MF,Mark Bresciano,11 February 1980,55,Palermo,2010
0,1,GK,Manuel Neuer,27 March 1986,5,Schalke 04,2010
1,2,MF,Marcell Jansen,4 November 1985,31,Hamburger SV,2010
2,3,DF,Arne Friedrich,29 May 1979,72,Hertha BSC,2010
3,4,DF,Dennis Aogo,14 January 1987,2,Hamburger SV,2010
4,5,DF,Serdar Tasci,24 April 1987,12,VfB Stuttgart,2010
5,6,MF,Sami Khedira,4 April 1987,5,VfB Stuttgart,2010
6,7,MF,Bastian Schweinsteiger,1 August 1984,74,Bayern Munich,2010
7,8,MF,Mesut Özil,15 October 1988,10,Werder Bremen,2010
8,9,FW,Stefan Kießling,25 January 1984,4,Bayer Leverkusen,2010
9,10,MF,Lukas Podolski,4 June 1985,73,1. FC Köln,2010
10,11,FW,Miroslav Klose,9 June 1978,96,Bayern Munich,2010
11,12,GK,Tim Wiese,17 December 1981,2,Werder Bremen,2010
12,13,MF,Thomas Müller,13 September 1989,2,Bayern Munich,2010
13,14,DF,Holger Badstuber,13 March 1989,2,Bayern Munich,2010
14,15,MF,Piotr Trochowski,22 March 1984,31,Hamburger SV,2010
15,16,DF,Philipp Lahm (c),11 November 1983,65,Bayern Munich,2010
16,17,DF,Per Mertesacker,29 September 1984,62,Werder Bremen,2010
17,18,MF,Toni Kroos,4 January 1990,4,Bayer Leverkusen,2010
18,19,FW,Cacau,27 March 1981,8,VfB Stuttgart,2010
19,20,DF,Jérôme Boateng,3 September 1988,5,Hamburger SV,2010
20,21,MF,Marko Marin,13 March 1989,9,Werder Bremen,2010
21,22,GK,Hans-Jörg Butt,28 May 1974,3,Bayern Munich,2010
22,23,FW,Mario Gómez,10 July 1985,34,Bayern Munich,2010
0,1,GK,Daniel Agyei,10 November 1989,2,Liberty Professionals,2010
1,2,DF,Hans Sarpei,28 June 1976,23,Bayer Leverkusen,2010
2,3,FW,Asamoah Gyan,22 November 1985,32,Rennes,2010
3,4,DF,John Paintsil,15 June 1981,65,Fulham,2010
4,5,DF,John Mensah (c),29 November 1982,58,Sunderland,2010
5,6,MF,Anthony Annan,21 July 1986,38,Rosenborg,2010
6,7,DF,Samuel Inkoom,1 June 1989,15,Basel,2010
7,8,DF,Jonathan Mensah,13 July 1990,3,Granada,2010
8,9,MF,Derek Boateng,2 May 1983,19,Getafe,2010
9,10,MF,Stephen Appiah,24 December 1980,56,Bologna,2010
10,11,MF,Sulley Muntari,27 August 1984,52,Inter Milan,2010
11,12,FW,Prince Tagoe,9 November 1986,17,1899 Hoffenheim,2010
12,13,MF,André Ayew,17 December 1989,15,Arles-Avignon,2010
13,14,FW,Matthew Amoah,24 October 1980,31,NAC,2010
14,15,DF,Isaac Vorsah,21 June 1988,6,1899 Hoffenheim,2010
15,16,GK,Stephen Ahorlu,5 September 1988,0,Heart of Lions,2010
16,17,DF,Ibrahim Ayew,16 April 1988,6,Zamalek,2010
17,18,FW,Dominic Adiyiah,29 November 1989,4,Milan,2010
18,19,DF,Lee Addy,26 September 1985,3,Bechem Chelsea,2010
19,20,MF,Quincy Owusu-Abeyie,15 April 1986,12,Al Sadd,2010
20,21,MF,Kwadwo Asamoah,9 December 1988,29,Udinese,2010
21,22,GK,Richard Kingson,13 June 1978,58,Wigan Athletic,2010
22,23,MF,Kevin-Prince Boateng,6 March 1987,0,Portsmouth,2010
0,1,GK,Vladimir Stojković,29 July 1983,33,Wigan Athletic,2010
1,2,DF,Antonio Rukavina,26 January 1984,20,1860 Munich,2010
2,3,DF,Aleksandar Kolarov,10 November 1985,13,Lazio,2010
3,4,MF,Gojko Kačar,26 January 1987,17,Hertha BSC,2010
4,5,DF,Nemanja Vidić,21 October 1981,45,Manchester United,2010
5,6,DF,Branislav Ivanović,22 February 1984,31,Chelsea,2010
6,7,MF,Zoran Tošić,28 April 1987,21,1. FC Köln,2010
7,8,FW,Danko Lazović,17 May 1983,37,Zenit Saint Petersburg,2010
8,9,FW,Marko Pantelić,15 September 1978,32,Ajax,2010
9,10,MF,Dejan Stanković (c),11 September 1978,88,Inter Milan,2010
10,11,MF,Nenad Milijaš,30 April 1983,17,Wolverhampton Wanderers,2010
11,12,GK,Bojan Isailović,25 March 1980,4,Zagłębie Lubin,2010
12,13,DF,Aleksandar Luković,23 October 1982,21,Udinese,2010
13,14,MF,Milan Jovanović,18 April 1981,26,Standard Liège,2010
14,15,FW,Nikola Žigić,25 September 1980,45,Valencia,2010
15,16,DF,Ivan Obradović,25 July 1988,12,Zaragoza,2010
16,17,MF,Miloš Krasić,1 November 1984,31,CSKA Moscow,2010
17,18,MF,Miloš Ninković,25 December 1984,9,Dynamo Kyiv,2010
18,19,MF,Radosav Petrović,8 March 1989,9,Partizan,2010
19,20,DF,Neven Subotić,10 December 1988,13,Borussia Dortmund,2010
20,21,FW,Dragan Mrđa,23 January 1984,6,Vojvodina,2010
21,22,MF,Zdravko Kuzmanović,22 September 1987,27,VfB Stuttgart,2010
22,23,GK,Anđelko Đuričić,21 November 1980,1,União de Leiria,2010
0,1,GK,Carlos Kameni,18 February 1984,58,Espanyol,2010
1,2,DF,Benoît Assou-Ekotto,24 March 1984,4,Tottenham Hotspur,2010
2,3,DF,Nicolas Nkoulou,27 March 1990,6,Monaco,2010
3,4,DF,Rigobert Song,1 July 1976,133,Trabzonspor,2010
4,5,DF,Sébastien Bassong,9 July 1986,3,Tottenham Hotspur,2010
5,6,MF,Alex Song,9 September 1987,20,Arsenal,2010
6,7,MF,Landry N'Guémo,28 November 1985,17,Celtic,2010
7,8,DF,Geremi,20 December 1978,109,Ankaragücü,2010
8,9,FW,Samuel Eto'o (c),10 March 1981,92,Inter Milan,2010
9,10,MF,Achille Emaná,5 June 1982,32,Real Betis,2010
10,11,MF,Jean Makoun,29 May 1983,46,Lyon,2010
11,12,DF,Gaëtan Bong,25 April 1988,0,Valenciennes,2010
12,13,FW,Eric Maxim Choupo-Moting,23 March 1989,0,1. FC Nürnberg,2010
13,14,DF,Aurélien Chedjou,20 June 1985,8,Lille,2010
14,15,FW,Pierre Webó,20 January 1982,39,Mallorca,2010
15,16,GK,Souleymanou Hamidou,22 November 1973,40,Kayserispor,2010
16,17,FW,Mohammadou Idrissou,8 March 1980,28,SC Freiburg,2010
17,18,MF,Eyong Enoh,23 March 1986,12,Ajax,2010
18,19,DF,Stéphane Mbia,20 May 1986,29,Marseille,2010
19,20,MF,Georges Mandjeck,9 December 1988,4,1. FC Kaiserslautern,2010
20,21,MF,Joël Matip,8 August 1991,1,Schalke 04,2010
